Original_Name,MLST,OspC_Type,Source,Origin,Location,skin/blood_pairs,Disseminated
URI70,7,B,,US,RI,,D
URI71,3,K,,US,RI,,D
URI72,1,A,,US,RI,,L
UCT73,3,K,,US,CT,,D
UCT74,1,A,,US,CT,,D
URI75,1,A,,US,RI,,D
UCT76,3,K,,US,CT,,L
URI77,3,K,,US,RI,,D
URI78,59,B,,US,RI,,D
URI79,59,B,,US,RI,,D
URI81,,N,,US,RI,,D
UCT83,3,K,,US,CT,,L
URI84,59,B,,US,RI,,L
URI85,9,N,,US,RI,,L
URI86,3,K,,US,RI,,L
URI87,,A,,US,RI,,D
URI88,4,H,,US,RI,,L
URI89,1,A,,US,RI,,D
URI90,9,N,,US,RI,,D
URI91,1,A,,US,RI,,L
UCT92,3,K,,US,CT,,L
URI93,1,A,,US,RI,,D
URI94,3,K,,US,RI,,D
UCT96,59,B,,US,CT,,D
URI97,3,K,,US,RI,,L
URI98,3,K,,US,RI,,D
URI99,36,N,,US,RI,,D
URI100,59,B,,US,RI,,L
URI101,1,A,,US,RI,,D
URI102,1,A,,US,RI,,D
URI103,3,K,,US,RI,,L
UCT104,3,K,,US,CT,,D
URI105,1,A,,US,RI,,D
UCT106,36,N,,US,CT,,D
URI107,1,A,,US,RI,,D
URI108,59,B,,US,RI,,D
UCT109,1,A,,US,CT,,L
UCT110,3,K,,US,CT,,D
URI111,1,A,,US,RI,,D
URI112,3,K,,US,RI,,L
UCT113,4,H,,US,CT,,D
URI114,16,I,,US,RI,,D
UCT115,4,H,,US,CT,,D
URI116,36,N,,US,RI,,L
URI117,3,K,,US,RI,,L
URI118,3,K,,US,RI,,L
URI119,1,A,,US,RI,,L
URI120,1,A,,US,RI,,D
UCT121,59,B,,US,CT,,L
URI122,3,K,,US,RI,,L
UMA127,11,C,,US,Nantucket,,L
UNY129,1,A,,US,NY,,L
UNY130,3,K,,US,NY,,L
UNY131,50,G,,US,NY,,L
UNY132,16,I,,US,NY,,L
UNY133,8,F,,US,NY,,D
UNY134,36,N,,US,NY,,D
UNY135,16,I,,US,NY,,L
UNY136,19,E,,US,NY,,L
UNY137,54,O,,US,NY,,L
UNY138,9,N,,US,NY,,L
UNY139,7,B,,US,NY,,L
UNY140,19,E,,US,NY,,L
UNY141,8,F,,US,NY,,L
UNY142,50,G,,US,NY,,L
UNY143,12,M,,US,NY,,L
UNY144,18,U,,US,NY,,L
UNY145,1,A,,US,NY,,L
UNY146,3,K,,US,NY,,L
UNY147,34,J,,US,NY,,L
UNY148,4,H,,US,NY,,L
UNY149,3,K,,US,NY,,D
UNY150,7,B,,US,NY,,D
UNY151,4,H,,US,NY,,D
UNY152,18,U,,US,NY,,L
UNY153,1,A,,US,NY,,D
UNY154,3,K,,US,NY,,L
UNY155,3,K,,US,NY,,L
UNY156,3,K,,US,NY,,L
UNY157,59,B,,US,NY,,L
UNY158,50,G,,US,NY,,L
UNY159,18,U,,US,NY,,L
UNY160,3,K,,US,NY,,D
UNY161,1,A,,US,NY,,D
UNY162,9,N,,US,NY,,L
UNY163,7,B,,US,NY,,L
UNY164,4,H,,US,NY,,L
UNY165,14,G,,US,NY,,L
UNY166,9,N,,US,NY,,L
UNY167,16,I,,US,NY,,L
UNY168,4,H,,US,NY,,L
UNY169,19,E,,US,NY,,D
UNY170,1,A,,US,NY,,D
UNY171,8,F,,US,NY,,L
UNY172,12,M,,US,NY,,L
UNY173,38,D,,US,NY,,L
UNY174,7,B,,US,NY,,L
UNY175,14,G,,US,NY,,L
UNY176,7,B,,US,NY,,D
UNY177,3,K,,US,NY,,D
UNY178,14,G,,US,NY,,D
UNY179,3,K,,US,NY,,D
UNY180,3,K,,US,NY,,L
UNY181,3,K,,US,NY,,D
UNY182,3,K,,US,NY,,D
UNY183,16,I,,US,NY,,L
UNY184,1,A,,US,NY,,L
UNY185,3,K,,US,NY,,L
UNY187,7,B,,US,NY,,D
UNY188,3,K,,US,NY,,D
UNY189,16,I,,US,NY,,D
UNY190,59,B,,US,NY,,D
UNY191,4,H,,US,NY,,D
UNY192,1,A,,US,NY,,D
UNY193,38,D,,US,NY,,L
UNY194,3,K,,US,NY,,D
UNY195,1,A,,US,NY,,D
UNY196,15,I,,US,NY,,D
UNY197,3,K,,US,NY,,D
