Rename_A,Original_Name,Patient Code,OspC_Type,MLST,Location,Origin,RST_Type,OspC_Allele,Disseminated
UWI243,MC99,,K,234,WI,US,2,ospC_AT11,L
UWI244,MC100,,J,237,WI,US,3,ospC_AT10,L
UWI245,MC101,,E,229,WI,US,3,E1,L
UWI246,MC102,,E,302,WI,US,2,ospC_AT8,L
UWI247,MC104,,H,4,WI,US,2,Hb,D
UWI248,MC105,,H,32,WI,US,2,Hb,L
UWI249,MC106,,M,409,WI,US,3,M2,L
UWI250,MC107,,H,32,WI,US,2,Hb,L
UWI251,MC108,,B,30,WI,US,1,ospC_AT2,L
UWI252,MC111,,L,29,WI,US,2,L,D
UWI253,MC112,,H,32,WI,US,2,Hb,D
UWI254,MC113,,H,32,WI,US,2,Hb,D
UWI255,MC114,,I,227,WI,US,3,ospC_AT9,L
UWI256,MC115,,L,29,WI,US,2,L1,L
UWI257,MC117,,B3,232,WI,US,3,B3,L
UWI258,MC118,,B3,232,WI,US,3,B3,L
,,,,,,,,,
UWI260,MC120,,F3,225,WI,US,3,F3,L
UWI261,MC121,,A,55,WI,US,1,ospC_AT1,D
UWI262,MC122,,D,51,WI,US,3,Db,L
UWI263,MC123,,L,29,WI,US,2,L1,L
UWI264,MC125,,L,29,WI,US,2,L1,D
UWI265,MC126,,K,234,WI,US,2,ospC_AT11,L
,,,,,,,,,
UWI267,MC128,,U,222,WI,US,3,ospC_AT15,L
UWI268,MC129,,I,228,WI,US,3,ospC_AT9,L
UWI269,MC130,,H,32,WI,US,2,Hb,D
UWI270,MC131,,D,51,WI,US,3,Db,L
UWI271,MC132,,B,30,WI,US,1,ospC_AT2,D
UWI272,MC133,,A,55,WI,US,1,ospC_AT1,D
UWI273,MC134,,C,55,WI,US,3,Cb,L
UWI274,MC135,,D,226,WI,US,3,Db,L
UWI275,MC136,,M,12,WI,US,3,,L
UWI276,MC137,,N,410,WI,US,2,ospC_AT13,D
UWI277,MC138,,N,410,WI,US,2,ospC_AT13,L
UWI278,MC139,,H,32,WI,US,2,Hb,D
UWI279,MC140,,F,302,WI,US,2,,D
UWI280,MC143,,H,32,WI,US,2,Hb,L
UWI281,MC145,,T,223,WI,US,3,T1,L
UWI282,MC148,,C,55,WI,US,1,Cb,L
UWI283,MC149,,O,221,WI,US,3,Oa,L
ESI284,EUBbssBL1,2831/06,R,ST20,Slovenia,EU,1,,
ESI285,EUBBssBB2,953/03,B,ST20,Slovenia,EU,1,,
ESI286,EUBbssCM3,2725/04,B,ST20,Slovenia,EU,1,,
ESI287,EUbbssHB6,323/96,B,ST314,Slovenia,EU,1,,
ESI288a,EUbbssJI7a,MKP-2205/13,S,ST20,Slovenia,EU,1,,
,,,,,,,,,
ESI289,EUbbssKJ9,2253/11,B,ST314,Slovenia,EU,1,,
ESI290,EUbbssKM10,2157/06,B,ST314,Slovenia,EU,1,,
ESI291,EUbbssKB11,1442/99,Q,545,Slovenia,EU,1,,
ESI292,EUbbssKK12,2624/09,B,545,Slovenia,EU,1,,
,,,,,,,,,
ESI294,EUbbssLM14,375/10,B,ST314,Slovenia,EU,1,,
ESI295,EUbbssLO15a,1506/08,L,24,Slovenia,EU,3,,
,,,,,,,,,
ESI297,EUbbssMF17,851/97,B,ST545,Slovenia,EU,1,,
,,,,,,,,,
ESI299,EUssOJ19,3471/09,S,ST24,Slovenia,EU,1,,
ESI300,EUbbssOF20,1929/11,L,ST24,Slovenia,EU,3,,
ESI301,EUbbssPM21a,2093/06,B,ST314,Slovenia,EU,1,,
,,,,,,,,,
ESI303,EUbbssPF23,2033/00,B,ST545,Slovenia,EU,1,,
ESI304,EUbbssPS24,559/06,L,ST24,Slovenia,EU,3,,
ESI305,EUbbssPT25,2290/03,B,ST20,Slovenia,EU,1,,
ESI306,EUbbssPV26,1313/12,B,ST545,Slovenia,EU,1,,
ESI307,EUbbssPS27,2249/07,B,ST545,Slovenia,EU,1,,
ESI308,EUbbssRJ28,674/18,B,ST20,Slovenia,EU,1,,
ESI309,EUbbssRE29,7946/05,S,ST20,Slovenia,EU,1,,
,,,,,,,,,
ESI311,EUbbssSU31,1735/11,L,ST24,Slovenia,EU,3,,
ESI312,EUbbssSZ32,861/99,L,New ST,Slovenia,EU,3,,
ESI313,EUbbssSM33,2543/97,B,ST314,Slovenia,EU,1,,
ESI314,EUbbssTM34,1809/03,B,ST20,Slovenia,EU,1,,
ESI315,EUbbssTVM35,2130/06,B,ST545,Slovenia,EU,1,,
ESI316,EUbbSSVI36,518/07,L,ST24,Slovenia,EU,3,,
ESI317,EUbbssZJ37,1963/06,B,ST20,Slovenia,EU,1,,
ESI318,EUbbssZV38,11059/05,B,ST545,Slovenia,EU,1,,
ESI319,EUbbssZJ39,1706/06,L,ST24,Slovenia,EU,3,,
ESI320,EUbbssZM40,1408/94,Q,546,Slovenia,EU,1,,
,,,,,,,,,
ESI322,EUbbssZF42,1131/96,L,ST24,Slovenia,EU,3,,
ESI323,EUbbssZI43,1502/01,L,799,Slovenia,EU,3,,
