refseq_id	old_name
BB_RS02080	BB_r01
BB_RS02085	BB_r02
BB_RS02095	BB_r03
BB_RS02100	BB_r04
BB_RS02110	BB_0421
BB_RS02115	BB_0422
BB_RS02120	BB_t04
BB_RS02125	BB_t05
BB_RS02130	BB_r05
BB_RS02135	BB_0426
BB_RS02140	BB_0427
BB_RS02145	BB_0428
BB_RS02150	BB_0429
BB_RS02155	BB_0430
BB_RS02160	BB_0431
BB_RS02165	BB_0432
BB_RS02170	BB_0434
BB_RS02175	BB_0435
BB_RS02180	BB_0436
BB_RS02185	BB_0437
BB_RS02190	BB_0438
BB_RS02195	BB_0439
BB_RS02200	BB_0440
BB_RS02205	BB_0441
BB_RS02210	BB_0442
BB_RS02215	BB_0443
BB_RS02220	BB_0444
BB_RS02225	BB_0445
BB_RS02235	BB_0446
BB_RS02240	BB_0447
BB_RS02245	BB_0448
BB_RS02250	BB_0449
BB_RS02255	BB_0450
BB_RS02260	BB_0451
BB_RS02265	BB_0452
BB_RS02270	BB_0453
BB_RS02275	BB_0454
BB_RS02280	BB_0455
BB_RS02285	BB_0456
BB_RS02290	BB_0457
BB_RS02295	BB_0458
BB_RS02300	BB_0459
BB_RS02305	BB_t19
BB_RS02310	BB_t20
BB_RS02315	BB_0460
BB_RS02320	BB_t21
BB_RS02325	BB_t06
BB_RS02335	BB_0461
BB_RS02340	BB_0462
BB_RS02345	BB_0463
BB_RS02350	BB_0464
BB_RS02355	BB_0465
BB_RS02360	BB_0466
BB_RS02365	BB_0467
BB_RS02370	BB_0468
BB_RS02375	BB_0469
BB_RS02385	BB_0471
BB_RS02390	BB_0472
BB_RS02395	BB_0473
BB_RS02400	BB_0475
BB_RS02405	BB_0476
BB_RS02410	BB_0477
BB_RS02415	BB_0478
BB_RS02420	BB_0479
BB_RS02425	BB_0480
BB_RS02430	BB_0481
BB_RS02435	BB_0482
BB_RS02440	BB_0483
BB_RS02445	BB_0484
BB_RS02450	BB_0485
BB_RS02455	BB_0486
BB_RS02460	BB_0487
BB_RS02465	BB_0488
BB_RS02470	BB_0489
BB_RS02475	BB_0490
BB_RS02480	BB_0491
BB_RS02485	BB_0492
BB_RS02490	BB_0493
BB_RS02495	BB_0494
BB_RS02500	BB_0495
BB_RS02505	BB_0496
BB_RS02510	BB_0497
BB_RS02515	BB_0498
BB_RS02520	BB_0499
BB_RS02525	BB_0500
BB_RS02530	BB_0501
BB_RS02535	BB_0502
BB_RS02540	BB_0503
BB_RS02545	BB_0504
BB_RS02550	BB_0505
BB_RS02555	BB_0506
BB_RS02560	BB_0507
BB_RS02565	BB_0508
BB_RS02570	BB_0509
BB_RS02575	BB_0511
BB_RS02580	BB_0512
BB_RS02585	BB_0513
BB_RS02590	BB_0514
BB_RS02595	BB_0515
BB_RS02600	BB_0516
BB_RS02605	BB_0517
BB_RS02610	BB_0518
BB_RS02615	BB_0519
BB_RS02620	BB_0522
BB_RS02625	BB_0524
BB_RS02630	BB_0525
BB_RS02635	BB_0526
BB_RS02640	BB_0527
BB_RS02645	BB_0528
BB_RS02650	BB_0530
BB_RS02655	BB_0531
BB_RS02660	BB_0532
BB_RS02665	BB_0533
BB_RS02670	BB_0534
BB_RS02675	BB_0535
BB_RS02680	BB_0536
BB_RS02685	BB_t23
BB_RS02690	BB_t07
BB_RS02695	BB_0537
BB_RS02700	BB_0538
BB_RS02705	BB_0539
BB_RS02710	BB_0540
BB_RS02720	BB_0542
BB_RS02725	BB_0543
BB_RS02730	BB_0544
BB_RS02735	BB_0545
BB_RS02740	BB_0546
BB_RS02745	BB_0547
BB_RS02750	BB_0548
BB_RS02755	BB_0549
BB_RS02760	BB_0550
BB_RS02765	BB_0551
BB_RS02770	BB_0552
BB_RS02775	BB_0553
BB_RS02780	BB_0554
BB_RS02785	BB_0555
BB_RS02790	BB_0556
BB_RS02795	BB_0557
BB_RS02800	BB_0558
BB_RS02805	BB_0559
BB_RS02810	BB_0560
BB_RS02815	BB_0561
BB_RS02820	BB_0562
BB_RS02825	BB_0563
BB_RS02830	BB_0564
BB_RS02835	BB_0565
BB_RS02840	BB_0566
BB_RS02845	BB_0567
BB_RS02850	BB_0568
BB_RS02855	BB_0569
BB_RS02860	BB_0570
BB_RS02865	BB_t24
BB_RS02870	BB_0571
BB_RS02875	BB_0572
