Isolate,MLST,OspC_Type,RST_Type,Source,Origin,Location,skin/blood_pairs,Disseminated,method
URI112,3,K,2.0,,US,RI,,L,illumina
UCT121,59,B,1.0,,US,CT,,L,illumina
ESI301,ST314,B,1.0,,EU,Slovenia,,,illumina
URI98,3,K,2.0,,US,RI,,D,illumina
K2,1,A,1.0,,US,RI,,D,hybrid
URI60,9,N,2.0,,US,RI,,L,illumina
URI52,16,I,3.0,,US,RI,,L,illumina
UCT73,3,K,2.0,,US,CT,,D,illumina
URI120,1,A,1.0,,US,RI,,D,illumina
MC105,32,H,,Skin,US,WI,,L,pacbio
UWI225,56,F,2.0,,US,WI,,L,illumina
UWI238,29,L,2.0,,US,WI,,D,illumina
UNY170,1,A,1.0,,US,NY,,D,illumina
URI63,1,A,1.0,,US,RI,,L,illumina
URI78,59,B,1.0,,US,RI,,D,illumina
ESI318,ST545,B,1.0,,EU,Slovenia,,,illumina
UNY135,16,I,3.0,,US,NY,,L,illumina
URI17,7,B,1.0,,US,RI,,D,illumina
UCT32,3,K,2.0,,US,CT,,D,illumina
UNY150,7,B,1.0,,US,NY,,D,illumina
K1,1,A,1.0,,US,CT,,D,hybrid
URI119,1,A,1.0,,US,RI,,L,illumina
URI49,8,F,2.0,,US,RI,,L,illumina
URI43,1,A,1.0,,US,RI,,L,illumina
UNY185,3,K,2.0,,US,NY,,L,illumina
UNY192,1,A,1.0,,US,NY,,D,illumina
URI86,3,K,2.0,,US,RI,,L,illumina
UNY156,3,K,2.0,,US,NY,,L,illumina
K64,1,A,1.0,,US,RI,,D,hybrid
BL522,12,M,3.0,,NY,,,D,pacbio
ESI286,ST20,B,1.0,,EU,Slovenia,,,illumina
URI42,1,A,1.0,,US,RI,,L,illumina
UNY129,1,A,1.0,,US,NY,,L,illumina
URI59,14,G,3.0,,US,RI,,L,illumina
UNY153,1,A,1.0,,US,NY,,D,illumina
URI103,3,K,2.0,,US,RI,,L,illumina
UCT110,3,K,2.0,,US,CT,,D,illumina
URI77,3,K,2.0,,US,RI,,D,illumina
UNY197,3,K,2.0,,US,NY,,D,illumina
UCT106,36,N,2.0,,US,CT,,D,illumina
UNY149,3,K,2.0,,US,NY,,D,illumina
MR641,4,H,2.0,Skin,US,NY,BL546,D,pacbio
BL546,4,H,2.0,,NY,,,D,pacbio
UNY182,3,K,2.0,,US,NY,,D,illumina
URI56,16,I,3.0,,US,RI,,L,illumina
UMA7,36,N,2.0,,US,Nantucket,,L,illumina
B477,38,D,3.0,Skin,US,NY,,L,pacbio
UNY176,7,B,1.0,,US,NY,,D,illumina
URI99,36,N,2.0,,US,RI,,D,illumina
URI38,37,T,3.0,,US,RI,,L,illumina
MC104,4,H,,CSF,US,WI,,D,pacbio
URI22,9,N,2.0,,US,RI,,L,illumina
B483,9,N,2.0,,NY,,,ND,pacbio
UNY155,3,K,2.0,,US,NY,,L,illumina
URI90,9,N,2.0,,US,RI,,D,illumina
UNY195,1,A,1.0,,US,NY,,D,illumina
URI61,1,A,1.0,,US,RI,,D,illumina
UNY165,14,G,3.0,,US,NY,,L,illumina
UCT115,4,H,2.0,,US,CT,,D,illumina
URI71,3,K,2.0,,US,RI,,D,illumina
UNY188,3,K,2.0,,US,NY,,D,illumina
UNY189,16,I,3.0,,US,NY,,D,illumina
UNY163,7,B,1.0,,US,NY,,L,illumina
URI116,36,N,2.0,,US,RI,,L,illumina
URI64,3,K,2.0,,US,RI,,L,illumina
URI41,1,A,1.0,,US,RI,,L,illumina
UCT30,3,K,2.0,,US,CT,,D,illumina
URI53,16,I,3.0,,US,RI,,L,illumina
UMA5,36,N,2.0,,US,Nantucket,,L,illumina
UNY180,3,K,2.0,,US,NY,,L,illumina
URI47,3,K,2.0,,US,RI,,L,illumina
URI48,9,N,2.0,,US,RI,,L,illumina
UNY151,4,H,2.0,,US,NY,,D,illumina
UCT66,1,A,1.0,,US,CT,,D,illumina
UNY154,3,K,2.0,,US,NY,,L,illumina
UNY174,7,B,1.0,,US,NY,,L,illumina
URI219,1,A,1.0,,US,RI,,L,illumina
UMA14,1,A,1.0,,US,Nantucket,,L,illumina
URI46,3,K,2.0,,US,RI,,L,illumina
UNY142,50,G,3.0,,US,NY,,L,illumina
URI68,36,N,2.0,,US,RI,,D,illumina
UCT104,3,K,2.0,,US,CT,,D,illumina
UNY190,59,B,1.0,,US,NY,,D,illumina
URI36,16,I,3.0,,US,RI,,D,illumina
UNY148,4,H,2.0,,US,NY,,L,illumina
URI55,19,E,3.0,,US,RI,,L,illumina
B500,15,I,3.0,Skin,US,NY,,D,pacbio
UWI262,51,D,3.0,,US,WI,,L,illumina
UMA15,3,K,2.0,,US,Nantucket,,L,illumina
URI39,1,A,1.0,,US,RI,,D,illumina
UMA1,3,K,2.0,,US,Nantucket,,L,illumina
UNY194,3,K,2.0,,US,NY,,D,illumina
URI87,1,A,1.0,,US,RI,,D,illumina
K13,9,K,2.0,,US,RI,,D,hybrid
UCT31,1,A,1.0,,US,CT,,D,illumina
UMA16,59,B,1.0,,US,Nantucket,,L,illumina
URI58,16,I,3.0,,US,RI,,L,illumina
UNY152,18,U,3.0,,US,NY,,L,illumina
URI23,3,K,2.0,,US,RI,,L,illumina
UNY139,7,B,1.0,,US,NY,,L,illumina
UMA10,797,B,1.0,,US,Nantuchet,,L,illumina
URI102,1,A,1.0,,US,RI,,D,illumina
UMA4,3,K,2.0,,US,Nantucket,,L,illumina
URI100,59,B,1.0,,US,RI,,L,illumina
UWI234,29,L,2.0,,US,WI,,L,illumina
URI114,16,I,3.0,,US,RI,,D,illumina
K86,1,A,1.0,,US,RI,,D,hybrid
UCT109,1,A,1.0,,US,CT,,L,illumina
K56,3,K,2.0,,US,RI,,L,hybrid
BL224,3,K,2.0,,NY,,,D,pacbio
UMA12,1,A,1.0,,US,Nantucket,,L,illumina
ESI308,ST20,B,1.0,,EU,Slovenia,,,illumina
UNY212,3,K,2.0,,US,NY,,D,illumina
UNY145,1,A,1.0,,US,NY,,L,illumina
UCT35,14,G,3.0,,US,CT,,L,illumina
UNY132,16,I,3.0,,US,NY,,L,illumina
UCT83,3,K,2.0,,US,CT,,L,illumina
UNY179,3,K,2.0,,US,NY,,D,illumina
UNY164,4,H,2.0,,US,NY,,L,illumina
UNY181,3,K,2.0,,US,NY,,D,illumina
UCT92,3,K,2.0,,US,CT,,L,illumina
URI105,1,A,1.0,,US,RI,,D,illumina
UMA127,11,C,3.0,,US,Nantucket,,L,illumina
B247,3,K,2.0,Skin,US,NY,BL146,D,pacbio
K6,1,A,1.0,,US,RI,,L,hybrid
URI108,59,B,1.0,,US,RI,,D,illumina
UNY161,1,A,1.0,,US,NY,,D,illumina
HB-19,16,,,culture,US,MA,,,nanopore
UNY146,3,K,2.0,,US,NY,,L,illumina
UMA9,1,A,1.0,,US,Nantucket,,L,illumina
URI91,1,A,1.0,,US,RI,,L,illumina
UMA11,38,D,3.0,,US,Nantucket,,L,illumina
K25,16,I,3.0,,US,RI,,D,hybrid
URI37,59,B,1.0,,US,RI,,L,illumina
UCT29,1,A,1.0,,US,CT,,D,illumina
UCT74,1,A,1.0,,US,CT,,D,illumina
K75,3,K,2.0,,US,RI,,L,hybrid
URI88,4,H,2.0,,US,RI,,L,illumina
K73,1,A,1.0,,US,RI,,D,hybrid
URI93,1,A,1.0,,US,RI,,D,illumina
UCT113,4,H,2.0,,US,CT,,D,illumina
BL206,1,A,1.0,,NY,,,D,pacbio
URI70,7,B,1.0,,US,RI,,D,illumina
URI67,59,B,1.0,,US,RI,,L,illumina
URI79,59,B,1.0,,US,RI,,D,illumina
