Isolate,MLST,OspC_Type,RST_Type,Source,Origin,Location,skin/blood_pairs,Disseminated,method
B356,12,M,3.0,Skin,US,NY,,L,pacbio
K2,1,A,1.0,,US,RI,,D,hybrid
K19,9,N,2.0,,US,RI,,L,hybrid
UCT121,59,B,1.0,,US,CT,,L,illumina
ESI289,314,B,1.0,,EU,Slovenia,,,illumina
UWI228,234,K,2.0,,US,WI,,L,illumina
UNY129,1,A,1.0,,US,NY,,L,illumina
ESI287,314,B,1.0,,EU,Slovenia,,,illumina
UNY143,12,M,3.0,,US,NY,,L,illumina
UNY192,1,A,1.0,,US,NY,,D,illumina
ESI306,545,B,1.0,,EU,Slovenia,,,illumina
UWI249,409,M,3.0,,US,WI,,L,illumina
ESI290,314,B,1.0,,EU,Slovenia,,,illumina
B483,9,N,2.0,,NY,,,ND,pacbio
UNY204,12,M,3.0,,US,NY,,D,illumina
K86,1,A,1.0,,US,RI,,D,hybrid
UCT96,59,B,1.0,,US,CT,,D,illumina
UNY195,1,A,1.0,,US,NY,,D,illumina
ESI294,314,B,1.0,,EU,Slovenia,,,illumina
UNY159,18,U,3.0,,US,NY,,L,illumina
URI33,9,N,2.0,,US,RI,,D,illumina
UWI243,234,K,2.0,,US,WI,,L,illumina
UWI225,56,F,2.0,,US,WI,,L,illumina
UNY135,16,I,3.0,,US,NY,,L,illumina
URI97,3,K,2.0,,US,RI,,L,illumina
UCT115,4,H,2.0,,US,CT,,D,illumina
URI103,3,K,2.0,,US,RI,,L,illumina
UNY136,19,E,3.0,,US,NY,,L,illumina
UCT31,1,A,1.0,,US,CT,,D,illumina
URI99,36,N,2.0,,US,RI,,D,illumina
MC104,4,H,,CSF,US,WI,,D,pacbio
UCT83,3,K,2.0,,US,CT,,L,illumina
URI86,3,K,2.0,,US,RI,,L,illumina
URI120,1,A,1.0,,US,RI,,D,illumina
URI42,1,A,1.0,,US,RI,,L,illumina
B477,38,D,3.0,Skin,US,NY,,L,pacbio
URI17,7,B,1.0,,US,RI,,D,illumina
UNY194,3,K,2.0,,US,NY,,D,illumina
UNY145,1,A,1.0,,US,NY,,L,illumina
ESI318,545,B,1.0,,EU,Slovenia,,,illumina
UCT32,3,K,2.0,,US,CT,,D,illumina
URI60,9,N,2.0,,US,RI,,L,illumina
ESI307,545,B,1.0,,EU,Slovenia,,,illumina
URI90,9,N,2.0,,US,RI,,D,illumina
UNY152,18,U,3.0,,US,NY,,L,illumina
UNY182,3,K,2.0,,US,NY,,D,illumina
UNY151,4,H,2.0,,US,NY,,D,illumina
URI78,59,B,1.0,,US,RI,,D,illumina
UMA14,1,A,1.0,,US,Nantucket,,L,illumina
UNY155,3,K,2.0,,US,NY,,L,illumina
UNY170,1,A,1.0,,US,NY,,D,illumina
URI44,3,K,2.0,,US,RI,,D,illumina
UNY142,50,G,3.0,,US,NY,,L,illumina
UCT62,3,K,2.0,,US,CT,,D,illumina
UNY189,16,I,3.0,,US,NY,,D,illumina
UNY197,3,K,2.0,,US,NY,,D,illumina
UNY150,7,B,1.0,,US,NY,,D,illumina
URI94,3,K,2.0,,US,RI,,D,illumina
B500,15,I,3.0,Skin,US,NY,,D,pacbio
URI116,36,N,2.0,,US,RI,,L,illumina
URI77,3,K,2.0,,US,RI,,D,illumina
UWI234,29,L,2.0,,US,WI,,L,illumina
UWI238,29,L,2.0,,US,WI,,D,illumina
ESI285,20,B,1.0,,EU,Slovenia,,,illumina
URI64,3,K,2.0,,US,RI,,L,illumina
URI114,16,I,3.0,,US,RI,,D,illumina
K22,38,D,3.0,,US,RI,,D,hybrid
URI43,1,A,1.0,,US,RI,,L,illumina
K1,1,A,1.0,,US,CT,,D,hybrid
UNY188,3,K,2.0,,US,NY,,D,illumina
UNY130,3,K,2.0,,US,NY,,L,illumina
UNY184,1,A,1.0,,US,NY,,L,illumina
UNY163,7,B,1.0,,US,NY,,L,illumina
UNY153,1,A,1.0,,US,NY,,D,illumina
UNY154,3,K,2.0,,US,NY,,L,illumina
UNY133,8,F,2.0,,US,NY,,D,illumina
K64,1,A,1.0,,US,RI,,D,hybrid
UNY193,38,D,3.0,,US,NY,,L,illumina
UNY211,3,K,2.0,,US,NY,,L,illumina
UNY149,3,K,2.0,,US,NY,,D,illumina
ESI286,20,B,1.0,,EU,Slovenia,,,illumina
UNY132,16,I,3.0,,US,NY,,L,illumina
URI219,1,A,1.0,,US,RI,,L,illumina
UNY139,7,B,1.0,,US,NY,,L,illumina
URI38,37,T,3.0,,US,RI,,L,illumina
UCT106,36,N,2.0,,US,CT,,D,illumina
URI46,3,K,2.0,,US,RI,,L,illumina
UNY131,50,G,3.0,,US,NY,,L,illumina
UNY202,9,N,2.0,,US,NY,,D,illumina
UNY165,14,G,3.0,,US,NY,,L,illumina
URI98,3,K,2.0,,US,RI,,D,illumina
URI71,3,K,2.0,,US,RI,,D,illumina
UNY179,3,K,2.0,,US,NY,,D,illumina
URI39,1,A,1.0,,US,RI,,D,illumina
URI55,19,E,3.0,,US,RI,,L,illumina
UCT66,1,A,1.0,,US,CT,,D,illumina
K56,3,K,2.0,,US,RI,,L,hybrid
UNY174,7,B,1.0,,US,NY,,L,illumina
URI48,9,N,2.0,,US,RI,,L,illumina
UNY164,4,H,2.0,,US,NY,,L,illumina
URI36,16,I,3.0,,US,RI,,D,illumina
URI102,1,A,1.0,,US,RI,,D,illumina
URI22,9,N,2.0,,US,RI,,L,illumina
URI68,36,N,2.0,,US,RI,,D,illumina
URI87,1,A,1.0,,US,RI,,D,illumina
UNY156,3,K,2.0,,US,NY,,L,illumina
UCT109,1,A,1.0,,US,CT,,L,illumina
URI100,59,B,1.0,,US,RI,,L,illumina
UNY146,3,K,2.0,,US,NY,,L,illumina
UNY180,3,K,2.0,,US,NY,,L,illumina
MR641,4,,,,,,,,2pacbio
UCT29,1,A,1.0,,US,CT,,D,illumina
K13,9,K,2.0,,US,RI,,D,hybrid
URI40,1,A,1.0,,US,RI,,D,illumina
URI79,59,B,1.0,,US,RI,,D,illumina
MC123,29,L,,Skin,US,WI,,L,pacbio
UMA5,36,N,2.0,,US,Nantucket,,L,illumina
UNY148,4,H,2.0,,US,NY,,L,illumina
MC105,32,H,,Skin,US,WI,,L,pacbio
UMA10,797,B,1.0,,US,Nantuchet,,L,illumina
UCT110,3,K,2.0,,US,CT,,D,illumina
URI37,59,B,1.0,,US,RI,,L,illumina
URI52,16,I,3.0,,US,RI,,L,illumina
UMA1,3,K,2.0,,US,Nantucket,,L,illumina
URI107,1,A,1.0,,US,RI,,D,illumina
UNY212,3,K,2.0,,US,NY,,D,illumina
ESI308,20,B,1.0,,EU,Slovenia,,,illumina
BL546,4,H,2.0,,NY,,,D,pacbio
UCT92,3,K,2.0,,US,CT,,L,illumina
UCT35,14,G,3.0,,US,CT,,L,illumina
URI59,14,G,3.0,,US,RI,,L,illumina
UWI262,51,D,3.0,,US,WI,,L,illumina
B247,3,K,2.0,Skin,US,NY,BL146,D,pacbio
UCT104,3,K,2.0,,US,CT,,D,illumina
URI41,1,A,1.0,,US,RI,,L,illumina
UMA7,36,N,2.0,,US,Nantucket,,L,illumina
UCT73,3,K,2.0,,US,CT,,D,illumina
URI63,1,A,1.0,,US,RI,,L,illumina
UCT76,3,K,2.0,,US,CT,,L,illumina
UNY181,3,K,2.0,,US,NY,,D,illumina
UCT113,4,H,2.0,,US,CT,,D,illumina
URI93,1,A,1.0,,US,RI,,D,illumina
UMA15,3,K,2.0,,US,Nantucket,,L,illumina
UNY190,59,B,1.0,,US,NY,,D,illumina
BL224,3,K,2.0,,NY,,,D,pacbio
UNY185,3,K,2.0,,US,NY,,L,illumina
URI47,3,K,2.0,,US,RI,,L,illumina
K24,14,G,3.0,,US,CT,,L,hybrid
URI67,59,B,1.0,,US,RI,,L,illumina
URI24,1,A,1.0,,US,RI,,D,illumina
UMA4,3,K,2.0,,US,Nantucket,,L,illumina
BL515,11,C,3.0,,NY,,,D,pacbio
URI108,59,B,1.0,,US,RI,,D,illumina
URI23,3,K,2.0,,US,RI,,L,illumina
K84,59,B,1.0,,US,CT,,D,hybrid
