Isolate,MLST,RST_Type,Source,Origin,Location,skin/blood_pairs,Disseminated,method,OspC_Type,AT_type
UNY173,38,3.0,,US,NY,,L,illumina,D,
ESI320,546,1.0,,EU,Slovenia,,,illumina,Q,AT9
UWI260,225,3.0,,US,WI,,L,illumina,F3,AT4
UNY217,37,3.0,,US,NY,,L,illumina,T,AT14
UNY144,18,3.0,,US,NY,,L,illumina,U,AT15
UWI264,29,2.0,,US,WI,,D,illumina,L,AT10
UWI227,32,2.0,,US,WI,,D,illumina,H,AT8
UNY187,7,1.0,,US,NY,,D,illumina,B,AT2
UWI232,234,2.0,,US,WI,,D,illumina,K,AT11
UWI283,221,3.0,,US,WI,,L,illumina,O,AT3
UWI265,234,2.0,,US,WI,,L,illumina,K,AT11
UWI231,52,3.0,,US,WI,,L,illumina,E3,AT16
ESI303,545,1.0,,EU,Slovenia,,,illumina,B,AT2
UWI222,32,2.0,,US,WI,,D,illumina,H,AT8
UWI269,32,2.0,,US,WI,,D,illumina,H,AT8
UNY166,9,2.0,,US,NY,,L,illumina,N,AT13
UWI247,4,2.0,,US,WI,,D,illumina,H,AT8
UWI245,229,3.0,,US,WI,,L,illumina,E,AT5
MC149,221,,Skin,US,WI,,L,pacbio,O,AT3
UWI253,32,2.0,,US,WI,,D,illumina,H,AT8
UWI220,56,2.0,,US,WI,,L,illumina,F,AT6
UWI229,43,2.0,,US,WI,,L,illumina,N,AT13
UNY175,14,3.0,,US,NY,,L,illumina,G,AT7
UNY140,19,3.0,,US,NY,,L,illumina,E,AT5
UWI280,32,2.0,,US,WI,,L,illumina,H,AT8
URI119,1,1.0,,US,RI,,L,illumina,A,AT1
UNY160,3,2.0,,US,NY,,D,illumina,K,AT11
UWI242,55,1.0,,US,WI,,L,illumina,A,AT1
UNY169,19,3.0,,US,NY,,D,illumina,E,AT5
UNY206,9,2.0,,US,NY,,D,illumina,N,AT13
UCT51,16,3.0,,US,CT,,L,illumina,I,AT9
UCT69,59,1.0,,US,CT,,D,illumina,B,AT2
URI122,3,2.0,,US,RI,,L,illumina,K,AT11
URI54,14,3.0,,US,RI,,L,illumina,G,AT7
UWI241,48,3.0,,US,WI,,D,illumina,G,AT7
UNY208,4,2.0,,US,NY,,D,illumina,H,AT8
UNY215,14,3.0,,US,NY,,D,illumina,G,AT7
K21,19,3.0,,US,CT,,D,hybrid,E,AT5
UWI239,221,3.0,,US,WI,,D,illumina,O,AT3
UWI256,29,2.0,,US,WI,,L,illumina,L,AT10
UWI223,234,2.0,,US,WI,,L,illumina,K,AT11
UWI251,30,1.0,,US,WI,,L,illumina,B,AT2
UNY191,4,2.0,,US,NY,,D,illumina,H,AT8
UWI236,48,3.0,,US,WI,,L,illumina,G,AT7
ESI315,545,1.0,,EU,Slovenia,,,illumina,B,AT2
UWI270,51,3.0,,US,WI,,L,illumina,D,
ESI313,314,1.0,,EU,Slovenia,,,illumina,B,AT2
UNY162,9,2.0,,US,NY,,L,illumina,N,AT13
ESI297,545,1.0,,EU,Slovenia,,,illumina,B,AT2
B348,19,3.0,Skin,US,NY,,D,pacbio,E,AT5
UNY134,36,2.0,,US,NY,,D,illumina,N,AT13
UNY183,16,3.0,,US,NY,,L,illumina,I,AT9
ESI314,20,1.0,,EU,Slovenia,,,illumina,B,AT2
UWI246,302,2.0,,US,WI,,L,illumina,E,AT6
UWI248,32,2.0,,US,WI,,L,illumina,H,AT8
UNY205,16,3.0,,US,NY,,D,illumina,I,AT9
ESI305,20,1.0,,EU,Slovenia,,,illumina,B,AT2
ESI317,20,1.0,,EU,Slovenia,,,illumina,B,AT2
UMA3,3,2.0,,US,Nantucket,,L,illumina,K,AT11
URI112,3,2.0,,US,RI,,L,illumina,K,AT11
UNY177,3,2.0,,US,NY,,D,illumina,K,AT11
URI49,8,2.0,,US,RI,,L,illumina,F,AT6
K83,3,2.0,,US,RI,,L,hybrid,K,AT11
URI56,16,3.0,,US,RI,,L,illumina,I,AT9
UWI261,55,1.0,,US,WI,,D,illumina,A,AT1
UNY158,50,3.0,,US,NY,,L,illumina,G,AT7
URI117,3,2.0,,US,RI,,L,illumina,K,AT11
B331,16,3.0,Skin,US,NY,,L,pacbio,I,AT9
UCT50,19,3.0,,US,CT,,D,illumina,E,AT5
BL522,12,3.0,,NY,,,D,pacbio,M,AT12
UCT30,3,2.0,,US,CT,,D,illumina,K,AT11
B418,19,3.0,Skin,US,NY,BL252,D,pacbio,E,AT5
UWI250,32,2.0,,US,WI,,L,illumina,H,AT8
UNY176,7,1.0,,US,NY,,D,illumina,B,AT2
UNY209,16,3.0,,US,NY,,D,illumina,I,AT9
UWI224,32,2.0,,US,WI,,D,illumina,H,AT8
URI81,9,2.0,,US,RI,,D,illumina,N,AT13
ESI301,314,1.0,,EU,Slovenia,,,illumina,B,AT2
UWI274,226,3.0,,US,WI,,L,illumina,D,
UNY200,1,1.0,,US,NY,,L,illumina,A,AT1
URI85,9,2.0,,US,RI,,L,illumina,N,AT13
UWI271,30,1.0,,US,WI,,D,illumina,B,AT2
UWI244,237,3.0,,US,WI,,L,illumina,J,AT10
B356,12,3.0,Skin,US,NY,,L,pacbio,M,AT12
K2,1,1.0,,US,RI,,D,hybrid,A,AT1
K19,9,2.0,,US,RI,,L,hybrid,N,AT13
UCT121,59,1.0,,US,CT,,L,illumina,B,AT2
ESI289,314,1.0,,EU,Slovenia,,,illumina,B,AT2
UWI228,234,2.0,,US,WI,,L,illumina,K,AT11
UNY129,1,1.0,,US,NY,,L,illumina,A,AT1
ESI287,314,1.0,,EU,Slovenia,,,illumina,B,AT2
UNY143,12,3.0,,US,NY,,L,illumina,M,AT12
UNY192,1,1.0,,US,NY,,D,illumina,A,AT1
ESI306,545,1.0,,EU,Slovenia,,,illumina,B,AT2
UWI249,409,3.0,,US,WI,,L,illumina,M,AT12
ESI290,314,1.0,,EU,Slovenia,,,illumina,B,AT2
B483,9,2.0,,NY,,,ND,pacbio,N,AT13
UNY204,12,3.0,,US,NY,,D,illumina,M,AT12
K86,1,1.0,,US,RI,,D,hybrid,A,AT1
UCT96,59,1.0,,US,CT,,D,illumina,B,AT2
UNY195,1,1.0,,US,NY,,D,illumina,A,AT1
ESI294,314,1.0,,EU,Slovenia,,,illumina,B,AT2
