94	UWI253	32	2.0	unknown	US	WI	unknown	D	illumina	H	AT8
95	UWI220	56	2.0	unknown	US	WI	unknown	L	illumina	F	AT6
96	UWI229	43	2.0	unknown	US	WI	unknown	L	illumina	N	AT13
97	UNY175	14	3.0	unknown	US	NY	unknown	L	illumina	G	AT7
98	UNY140	19	3.0	unknown	US	NY	unknown	L	illumina	E	AT5
99	UWI280	32	2.0	unknown	US	WI	unknown	L	illumina	H	AT8
100	URI119	1	1.0	unknown	US	RI	unknown	L	illumina	A	AT1
101	UNY160	3	2.0	unknown	US	NY	unknown	D	illumina	K	AT11
102	UWI242	55	1.0	unknown	US	WI	unknown	L	illumina	A	AT1
103	UNY169	19	3.0	unknown	US	NY	unknown	D	illumina	E	AT5
104	UNY206	9	2.0	unknown	US	NY	unknown	D	illumina	N	AT13
105	UCT51	16	3.0	unknown	US	CT	unknown	L	illumina	I	AT9
106	UCT69	59	1.0	unknown	US	CT	unknown	D	illumina	B	AT2
107	URI122	3	2.0	unknown	US	RI	unknown	L	illumina	K	AT11
108	URI54	14	3.0	unknown	US	RI	unknown	L	illumina	G	AT7
109	UWI241	48	3.0	unknown	US	WI	unknown	D	illumina	G	AT7
110	UNY208	4	2.0	unknown	US	NY	unknown	D	illumina	H	AT8
111	UNY215	14	3.0	unknown	US	NY	unknown	D	illumina	G	AT7
112	K21	19	3.0	unknown	US	CT	unknown	D	hybrid	E	AT5
113	UWI239	221	3.0	unknown	US	WI	unknown	D	illumina	O	Bbis
114	UWI256	29	2.0	unknown	US	WI	unknown	L	illumina	L	Bbis
115	UWI223	234	2.0	unknown	US	WI	unknown	L	illumina	K	AT11
116	UWI251	30	1.0	unknown	US	WI	unknown	L	illumina	B	AT2
117	UNY191	4	2.0	unknown	US	NY	unknown	D	illumina	H	AT8
118	UWI236	48	3.0	unknown	US	WI	unknown	L	illumina	G	AT7
119	ESI315	545	1.0	unknown	EU	Slovenia	unknown	unknown	illumina	B	AT2
120	UWI270	51	3.0	unknown	US	WI	unknown	L	illumina	D	unknown
121	ESI313	314	1.0	unknown	EU	Slovenia	unknown	unknown	illumina	B	AT2
122	UNY162	9	2.0	unknown	US	NY	unknown	L	illumina	N	AT13
123	ESI297	545	1.0	unknown	EU	Slovenia	unknown	unknown	illumina	B	AT2
124	B348	19	3.0	Skin	US	NY	unknown	D	pacbio	E	AT5
125	UNY134	36	2.0	unknown	US	NY	unknown	D	illumina	N	AT13
126	UNY183	16	3.0	unknown	US	NY	unknown	L	illumina	I	AT9
127	ESI314	20	1.0	unknown	EU	Slovenia	unknown	unknown	illumina	B	AT2
128	UWI246	302	2.0	unknown	US	WI	unknown	L	illumina	E	AT6
129	UWI248	32	2.0	unknown	US	WI	unknown	L	illumina	H	AT8
130	UNY205	16	3.0	unknown	US	NY	unknown	D	illumina	I	AT9
131	ESI305	20	1.0	unknown	EU	Slovenia	unknown	unknown	illumina	B	AT2
132	ESI317	20	1.0	unknown	EU	Slovenia	unknown	unknown	illumina	B	AT2
133	UMA3	3	2.0	unknown	US	Nantucket	unknown	L	illumina	K	AT11
134	URI112	3	2.0	unknown	US	RI	unknown	L	illumina	K	AT11
135	UNY177	3	2.0	unknown	US	NY	unknown	D	illumina	K	AT11
136	URI49	8	2.0	unknown	US	RI	unknown	L	illumina	F	AT6
137	K83	3	2.0	unknown	US	RI	unknown	L	hybrid	K	AT11
138	URI56	16	3.0	unknown	US	RI	unknown	L	illumina	I	AT9
139	UWI261	55	1.0	unknown	US	WI	unknown	D	illumina	A	AT1
140	UNY158	50	3.0	unknown	US	NY	unknown	L	illumina	G	AT7
141	URI117	3	2.0	unknown	US	RI	unknown	L	illumina	K	AT11
142	B331	16	3.0	Skin	US	NY	unknown	L	pacbio	I	AT9
143	UCT50	19	3.0	unknown	US	CT	unknown	D	illumina	E	AT5
144	BL522	12	3.0	unknown	NY	unknown	unknown	D	pacbio	M	AT12
145	UCT30	3	2.0	unknown	US	CT	unknown	D	illumina	K	AT11
146	B418	19	3.0	Skin	US	NY	BL252	D	pacbio	E	AT5
147	UWI250	32	2.0	unknown	US	WI	unknown	L	illumina	H	AT8
148	UNY176	7	1.0	unknown	US	NY	unknown	D	illumina	B	AT2
149	UNY209	16	3.0	unknown	US	NY	unknown	D	illumina	I	AT9
150	UWI224	32	2.0	unknown	US	WI	unknown	D	illumina	H	AT8
151	URI81	9	2.0	unknown	US	RI	unknown	D	illumina	N	AT13
152	ESI301	314	1.0	unknown	EU	Slovenia	unknown	unknown	illumina	B	AT2
153	UWI274	226	3.0	unknown	US	WI	unknown	L	illumina	D	unknown
154	UNY200	1	1.0	unknown	US	NY	unknown	L	illumina	A	AT1
155	URI85	9	2.0	unknown	US	RI	unknown	L	illumina	N	AT13
156	UWI271	30	1.0	unknown	US	WI	unknown	D	illumina	B	AT2
157	UWI244	237	3.0	unknown	US	WI	unknown	L	illumina	J	AT10
158	B356	12	3.0	Skin	US	NY	unknown	L	pacbio	M	AT12
159	K2	1	1.0	unknown	US	RI	unknown	D	hybrid	A	AT1
160	K19	9	2.0	unknown	US	RI	unknown	L	hybrid	N	AT13
161	UCT121	59	1.0	unknown	US	CT	unknown	L	illumina	B	AT2
162	ESI289	314	1.0	unknown	EU	Slovenia	unknown	unknown	illumina	B	AT2
163	UWI228	234	2.0	unknown	US	WI	unknown	L	illumina	K	AT11
164	UNY129	1	1.0	unknown	US	NY	unknown	L	illumina	A	AT1
165	ESI287	314	1.0	unknown	EU	Slovenia	unknown	unknown	illumina	B	AT2
