#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:Bbss_out_gbbins.filtered_polymorphic_sites" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:Bbss_out_gbbins.filtered_polymorphic_sites" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:Bbss_out_gbbins.filtered_polymorphic_sites" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.Bbss_out_gbbins.filtered_polymorphic_sites" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:Bbss_out_gbbins.filtered_polymorphic_sites" name="distribution" x="@birthRate.t:Bbss_out_gbbins.filtered_polymorphic_sites">
#            <Normal id="Normal.100" name="distr">
#                <parameter estimate="false" id="RealParameter.200" name="mean" spec="beast.core.parameter.RealParameter">0.0</parameter>
#                <parameter estimate="false" id="RealParameter.201" name="sigma" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </Normal>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@Bbss_out_gbbins.filtered_polymorphic_sites" id="treeLikelihood.Bbss_out_gbbins.filtered_polymorphic_sites" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Bbss_out_gbbins.filtered_polymorphic_sites">
#            <siteModel id="SiteModel.s:Bbss_out_gbbins.filtered_polymorphic_sites" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:Bbss_out_gbbins.filtered_polymorphic_sites" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:Bbss_out_gbbins.filtered_polymorphic_sites" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Bbss_out_gbbins.filtered_polymorphic_sites" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:Bbss_out_gbbins.filtered_polymorphic_sites" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:Bbss_out_gbbins.filtered_polymorphic_sites" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:Bbss_out_gbbins.filtered_polymorphic_sites" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate
50000	-104289.61393048108	-104344.32551254673	54.71158206564803	-104344.32551254673	0.24869236347944537	71.39339424153869	5.6147793621274165
51000	-104290.88060637855	-104345.43844774186	54.55784136332187	-104345.43844774186	0.24869236347944537	76.81711111960811	6.533043888277741
52000	-104292.58924786505	-104347.4204129743	54.83116510924687	-104347.4204129743	0.24915091375359555	73.46776015425016	5.952756758309315
53000	-104287.70329793832	-104342.26649402174	54.563196083414105	-104342.26649402174	0.24674971014808916	77.05348812642247	6.568310819351302
54000	-104288.19499574149	-104342.62549748346	54.430501741972854	-104342.62549748346	0.24685920137075185	77.20572335181183	6.611547939270243
55000	-104293.3495737364	-104348.0496844815	54.700110745100645	-104348.0496844815	0.24883294455706334	74.96965218782586	6.221029321506296
56000	-104290.41219367272	-104345.47682334979	55.06462967706685	-104345.47682334979	0.24332405795299772	74.66743685447558	6.112915612734084
57000	-104289.15252227482	-104343.28218956447	54.12966728966141	-104343.28218956447	0.24507363294900755	68.39627114055445	5.1667524263677205
58000	-104292.94977994284	-104345.80030494917	52.85052500633033	-104345.80030494917	0.2458518920635306	80.99765162645448	7.37945636031808
59000	-104293.95854887221	-104346.71483285406	52.756283981860435	-104346.71483285406	0.2435666153133921	81.45136665636758	7.45334074644417
60000	-104293.90719046722	-104348.27035772293	54.36316725571519	-104348.27035772293	0.24812452499692222	69.73279270847951	5.375999799025228
61000	-104288.13071873404	-104342.90353046525	54.7728117312022	-104342.90353046525	0.24812452499692222	72.19285406194285	5.744754789812353
62000	-104283.78806683003	-104338.72752358716	54.939456757133215	-104338.72752358716	0.24441599653631513	73.16747471134858	5.883719813351191
63000	-104285.56694966943	-104339.29403524981	53.727085580373014	-104339.29403524981	0.24837199047604727	78.84764906341658	6.957244418566721
64000	-104281.75970529106	-104336.64344620431	54.88374091325582	-104336.64344620431	0.2488393381474722	72.78017954840375	5.827091916546924
65000	-104284.76452048066	-104339.67926881688	54.914748336222644	-104339.67926881688	0.2467931748105852	72.61118271918282	5.792667062719124
66000	-104284.79200655049	-104339.30163569772	54.50962914723158	-104339.30163569772	0.24704805823205964	69.97711364745214	5.394172034152395
67000	-104289.7616006087	-104343.21150988065	53.44990927194792	-104343.21150988065	0.25033704531045675	79.5544449614953	7.097266678988851
68000	-104286.379701337	-104341.37370944672	54.99400810971609	-104341.37370944672	0.2459193973251296	74.43508061493145	6.086400245138449
69000	-104301.39169815382	-104354.95729591571	53.56559776188908	-104354.95729591571	0.24552219551222787	80.02381795774997	7.146926844827253
70000	-104284.83539243514	-104339.79715870283	54.96176626769467	-104339.79715870283	0.24643681828629307	74.82534385750616	6.155426720643632
71000	-104287.30963234844	-104340.46041639784	53.15078404939716	-104340.46041639784	0.24643681828629307	65.56205894516475	4.794233278129656
72000	-104281.53791734418	-104336.53073790923	54.99282056505329	-104336.53073790923	0.24599117731536863	73.32736466438229	5.901797279833377
73000	-104281.01588295876	-104335.67238189868	54.65649893991835	-104335.67238189868	0.2450675047320025	76.91471970426865	6.532883319200738
74000	-104286.76857288714	-104341.10486154938	54.33628866223242	-104341.10486154938	0.24961756300051485	69.50653693915056	5.338784457854329
75000	-104284.05208290325	-104338.87388462934	54.821801726095245	-104338.87388462934	0.24961756300051485	74.38384784161732	6.106243948994734
76000	-104286.32150309406	-104341.22770877837	54.90620568431052	-104341.22770877837	0.24813453714025369	74.16611748023232	6.056562269591079
77000	-104283.28833700795	-104338.00076627794	54.71242926998468	-104338.00076627794	0.2474725869191684	70.69754054442535	5.489293714356337
78000	-104282.83293363874	-104337.77887207568	54.945938436946676	-104337.77887207568	0.24716775787706702	74.56827256499365	6.116109154493942
79000	-104287.077434549	-104341.28652616712	54.209091618125306	-104341.28652616712	0.24504138655151483	78.79453979352999	6.879899656564769
80000	-104286.0138371785	-104340.61203443386	54.59819725535245	-104340.61203443386	0.2437748382989614	69.84045455863067	5.3522553694818304
81000	-104291.43412632488	-104346.27441836406	54.84029203918132	-104346.27441836406	0.24827312542739483	75.29295380220596	6.250395704244646
82000	-104284.12288598788	-104338.81327187561	54.6903858877403	-104338.81327187561	0.25149790623679824	71.81994014033914	5.693964474668624
83000	-104285.6707957574	-104339.0526799032	53.38188414579889	-104339.0526799032	0.2470035095020822	66.14119543689444	4.866286624910389
84000	-104283.13700367732	-104338.01648636447	54.87948268715924	-104338.01648636447	0.2450012142234183	71.68811370674675	5.63732072644139
85000	-104289.15127187374	-104344.24916866349	55.09789678975203	-104344.24916866349	0.24360995491348872	74.16402188956931	6.024481150541116
86000	-104291.36231363747	-104346.3140554298	54.95174179233832	-104346.3140554298	0.2463899850422161	73.00693893032933	5.8542734143164745
87000	-104286.10368815178	-104339.37563538135	53.271947229568816	-104339.37563538135	0.2471018655892132	65.85404392470888	4.829732531297233
88000	-104288.87135623496	-104343.94684047317	55.07548423821852	-104343.94684047317	0.24550949031952268	74.19676548591954	6.0336295402512645
89000	-104286.25003211563	-104341.04786096071	54.797828845076374	-104341.04786096071	0.2505690062834524	74.37811803368139	6.1092308280830805
90000	-104292.35886359918	-104347.33308131523	54.97421771605268	-104347.33308131523	0.24620989029111054	73.11254483681994	5.868456115123053
91000	-104291.61005152726	-104344.05600089865	52.44594937139465	-104344.05600089865	0.24602492340713003	81.69272322874563	7.526996123839352
92000	-104295.89037286265	-104350.60880158716	54.7184287245196	-104350.60880158716	0.24959482542201727	74.76842477800042	6.185637803860836
