Original_Name,MLST,OspC_Type,Source,Origin,Location,skin/blood_pairs,Disseminated,method
EU14_B89613,,,,,,,,hybrid
EU57_B190413,,,,,,,,hybrid
EU51_B192411,,,,,,,,hybrid
K89,,,,,,,,hybrid
L113,,,,,,,,hybrid
XD1,,,,,,,,hybrid
UMA1,3,K,,US,Nantucket,,L,illumina
UMA2,8,F,,US,Nantucket,,L,illumina
UMA3,3,K,,US,Nantucket,,L,illumina
UMA4,3,K,,US,Nantucket,,L,illumina
UMA5,36,N,,US,Nantucket,,L,illumina
UMA7,36,N,,US,Nantucket,,L,illumina
UMA8,1,A,,US,Nantucket,,D,illumina
UMA9,1,A,,US,Nantucket,,L,illumina
UMA10,797,B,,US,Nantuchet,,L,illumina
UMA11,38,D,,US,Nantucket,,L,illumina
UMA12,1,A,,US,Nantucket,,L,illumina
UMA13,59,B,,US,Nantucket,,L,illumina
UMA14,1,A,,US,Nantucket,,L,illumina
UMA15,3,K,,US,Nantucket,,L,illumina
UMA16,59,B,,US,Nantucket,,L,illumina
URI17,7,B,,US,RI,,D,illumina
URI19,59,B,,US,RI,,L,illumina
URI20,14,G,,US,RI,,L,illumina
URI22,9,N,,US,RI,,L,illumina
URI23,3,K,,US,RI,,L,illumina
URI24,1,A,,US,RI,,D,illumina
ESI26,ST20,R,,EU,Slovenia,,,illumina
ESI28,284,R,,EU,Slovenia,,,illumina
UCT29,1,A,,US,CT,,D,illumina
UCT30,3,K,,US,CT,,D,illumina
UCT31,1,A,,US,CT,,D,illumina
UCT32,3,K,,US,CT,,D,illumina
URI33,9,N,,US,RI,,D,illumina
URI34,38,D,,US,RI,,D,illumina
UCT35,14,G,,US,CT,,L,illumina
URI36,16,I,,US,RI,,D,illumina
URI37,59,B,,US,RI,,L,illumina
URI38,37,T,,US,RI,,L,illumina
URI39,1,A,,US,RI,,D,illumina
URI40,1,A,,US,RI,,D,illumina
URI41,1,A,,US,RI,,L,illumina
URI42,1,A,,US,RI,,L,illumina
URI43,1,A,,US,RI,,L,illumina
URI44,3,K,,US,RI,,D,illumina
URI46,3,K,,US,RI,,L,illumina
URI47,3,K,,US,RI,,L,illumina
URI48,9,N,,US,RI,,L,illumina
URI49,8,F,,US,RI,,L,illumina
UCT50,19,E,,US,CT,,D,illumina
UCT51,16,I,,US,CT,,L,illumina
URI52,16,I,,US,RI,,L,illumina
URI53,16,I,,US,RI,,L,illumina
URI54,14,G,,US,RI,,L,illumina
URI55,19,E,,US,RI,,L,illumina
URI56,16,I,,US,RI,,L,illumina
URI57,59,B,,US,RI,,L,illumina
URI58,16,I,,US,RI,,L,illumina
URI59,14,G,,US,RI,,L,illumina
URI60,9,N,,US,RI,,L,illumina
URI61,1,A,,US,RI,,D,illumina
UCT62,3,K,,US,CT,,D,illumina
URI63,1,A,,US,RI,,L,illumina
URI64,3,K,,US,RI,,L,illumina
URI65,1,A,,US,RI,,L,illumina
UCT66,1,A,,US,CT,,D,illumina
URI67,59,B,,US,RI,,L,illumina
URI68,36,N,,US,RI,,D,illumina
UCT69,59,B,,US,CT,,D,illumina
URI70,7,B,,US,RI,,D,illumina
URI71,3,K,,US,RI,,D,illumina
URI72,1,A,,US,RI,,L,illumina
UCT73,3,K,,US,CT,,D,illumina
UCT74,1,A,,US,CT,,D,illumina
URI75,1,A,,US,RI,,D,illumina
UCT76,3,K,,US,CT,,L,illumina
URI77,3,K,,US,RI,,D,illumina
URI78,59,B,,US,RI,,D,illumina
URI79,59,B,,US,RI,,D,illumina
URI81,,N,,US,RI,,D,illumina
UCT83,3,K,,US,CT,,L,illumina
URI84,59,B,,US,RI,,L,illumina
URI85,9,N,,US,RI,,L,illumina
URI86,3,K,,US,RI,,L,illumina
URI87,,A,,US,RI,,D,illumina
URI88,4,H,,US,RI,,L,illumina
URI89,1,A,,US,RI,,D,illumina
URI90,9,N,,US,RI,,D,illumina
URI91,1,A,,US,RI,,L,illumina
UCT92,3,K,,US,CT,,L,illumina
URI93,1,A,,US,RI,,D,illumina
URI94,3,K,,US,RI,,D,illumina
UCT96,59,B,,US,CT,,D,illumina
URI97,3,K,,US,RI,,L,illumina
URI98,3,K,,US,RI,,D,illumina
URI99,36,N,,US,RI,,D,illumina
URI100,59,B,,US,RI,,L,illumina
URI101,1,A,,US,RI,,D,illumina
URI102,1,A,,US,RI,,D,illumina
URI103,3,K,,US,RI,,L,illumina
UCT104,3,K,,US,CT,,D,illumina
URI105,1,A,,US,RI,,D,illumina
UCT106,36,N,,US,CT,,D,illumina
URI107,1,A,,US,RI,,D,illumina
URI108,59,B,,US,RI,,D,illumina
UCT109,1,A,,US,CT,,L,illumina
UCT110,3,K,,US,CT,,D,illumina
URI111,1,A,,US,RI,,D,illumina
URI112,3,K,,US,RI,,L,illumina
UCT113,4,H,,US,CT,,D,illumina
URI114,16,I,,US,RI,,D,illumina
UCT115,4,H,,US,CT,,D,illumina
URI116,36,N,,US,RI,,L,illumina
URI117,3,K,,US,RI,,L,illumina
URI118,3,K,,US,RI,,L,illumina
URI119,1,A,,US,RI,,L,illumina
URI120,1,A,,US,RI,,D,illumina
UCT121,59,B,,US,CT,,L,illumina
URI122,3,K,,US,RI,,L,illumina
UMA127,11,C,,US,Nantucket,,L,illumina
UNY129,1,A,,US,NY,,L,illumina
UNY130,3,K,,US,NY,,L,illumina
UNY131,50,G,,US,NY,,L,illumina
UNY132,16,I,,US,NY,,L,illumina
UNY133,8,F,,US,NY,,D,illumina
UNY134,36,N,,US,NY,,D,illumina
UNY135,16,I,,US,NY,,L,illumina
UNY136,19,E,,US,NY,,L,illumina
UNY137,54,O,,US,NY,,L,illumina
UNY138,9,N,,US,NY,,L,illumina
UNY139,7,B,,US,NY,,L,illumina
UNY140,19,E,,US,NY,,L,illumina
UNY141,8,F,,US,NY,,L,illumina
UNY142,50,G,,US,NY,,L,illumina
UNY143,12,M,,US,NY,,L,illumina
UNY144,18,U,,US,NY,,L,illumina
UNY145,1,A,,US,NY,,L,illumina
UNY146,3,K,,US,NY,,L,illumina
UNY147,34,J,,US,NY,,L,illumina
UNY148,4,H,,US,NY,,L,illumina
UNY149,3,K,,US,NY,,D,illumina
UNY150,7,B,,US,NY,,D,illumina
UNY151,4,H,,US,NY,,D,illumina
UNY152,18,U,,US,NY,,L,illumina
UNY153,1,A,,US,NY,,D,illumina
UNY154,3,K,,US,NY,,L,illumina
UNY155,3,K,,US,NY,,L,illumina
UNY156,3,K,,US,NY,,L,illumina
UNY157,59,B,,US,NY,,L,illumina
UNY158,50,G,,US,NY,,L,illumina
UNY159,18,U,,US,NY,,L,illumina
UNY160,3,K,,US,NY,,D,illumina
UNY161,1,A,,US,NY,,D,illumina
UNY162,9,N,,US,NY,,L,illumina
UNY163,7,B,,US,NY,,L,illumina
UNY164,4,H,,US,NY,,L,illumina
UNY165,14,G,,US,NY,,L,illumina
UNY166,9,N,,US,NY,,L,illumina
UNY167,16,I,,US,NY,,L,illumina
UNY168,4,H,,US,NY,,L,illumina
UNY169,19,E,,US,NY,,D,illumina
UNY170,1,A,,US,NY,,D,illumina
UNY171,8,F,,US,NY,,L,illumina
UNY172,12,M,,US,NY,,L,illumina
UNY173,38,D,,US,NY,,L,illumina
UNY174,7,B,,US,NY,,L,illumina
UNY175,14,G,,US,NY,,L,illumina
UNY176,7,B,,US,NY,,D,illumina
UNY177,3,K,,US,NY,,D,illumina
UNY178,14,G,,US,NY,,D,illumina
UNY179,3,K,,US,NY,,D,illumina
UNY180,3,K,,US,NY,,L,illumina
UNY181,3,K,,US,NY,,D,illumina
UNY182,3,K,,US,NY,,D,illumina
UNY183,16,I,,US,NY,,L,illumina
UNY184,1,A,,US,NY,,L,illumina
UNY185,3,K,,US,NY,,L,illumina
UNY187,7,B,,US,NY,,D,illumina
UNY188,3,K,,US,NY,,D,illumina
UNY189,16,I,,US,NY,,D,illumina
UNY190,59,B,,US,NY,,D,illumina
UNY191,4,H,,US,NY,,D,illumina
UNY192,1,A,,US,NY,,D,illumina
UNY193,38,D,,US,NY,,L,illumina
UNY194,3,K,,US,NY,,D,illumina
UNY195,1,A,,US,NY,,D,illumina
UNY196,15,I,,US,NY,,D,illumina
UNY197,3,K,,US,NY,,D,illumina
UNY199,19,E,,US,NY,,L,illumina
UNY200,1,A,,US,NY,,L,illumina
UNY201,34,J,,US,NY,,D,illumina
UNY202,9,N,,US,NY,,D,illumina
UNY203,14,G,,US,NY,,L,illumina
UNY204,12,M,,US,NY,,D,illumina
UNY205,16,I,,US,NY,,D,illumina
UNY206,9,N,,US,NY,,D,illumina
UNY207,11,C,,US,NY,,D,illumina
UNY208,4,H,,US,NY,,D,illumina
UNY209,16,I,,US,NY,,D,illumina
UNY210,18,U,,US,NY,,L,illumina
UNY211,3,K,,US,NY,,L,illumina
UNY212,3,K,,US,NY,,D,illumina
UNY213,8,F,,US,NY,,L,illumina
UNY214,40,E3,,US,NY,,L,illumina
UNY215,14,G,,US,NY,,D,illumina
UNY216,12,M,,US,NY,,D,illumina
UNY217,37,T,,US,NY,,L,illumina
UNY218,37,T,,US,NY,,L,illumina
URI219,1,A,,US,RI,,L,illumina
UWI220,56,F,,US,WI,,L,illumina
UWI221,32,H,,US,WI,,L,illumina
UWI222,32,H,,US,WI,,D,illumina
UWI223,234,K,,US,WI,,L,illumina
UWI224,32,H,,US,WI,,D,illumina
UWI225,56,F,,US,WI,,L,illumina
UWI226,221,O,,US,WI,,D,illumina
UWI227,32,H,,US,WI,,D,illumina
UWI228,234,K,,US,WI,,L,illumina
UWI229,43,N,,US,WI,,L,illumina
UWI230,222,U,,US,WI,,D,illumina
UWI231,52,E3,,US,WI,,L,illumina
UWI232,234,K,,US,WI,,D,illumina
UWI233,48,G,,US,WI,,L,illumina
UWI234,29,L,,US,WI,,L,illumina
UWI235,47,U,,US,WI,,L,illumina
UWI236,48,G,,US,WI,,L,illumina
UWI237,229,E,,US,WI,,L,illumina
UWI238,29,L,,US,WI,,D,illumina
UWI239,221,O,,US,WI,,D,illumina
UWI240,12,M,,US,WI,,D,illumina
UWI241,48,G,,US,WI,,D,illumina
UWI242,55,A,,US,WI,,L,illumina
UWI243,234,K,,US,WI,,L,illumina
UWI244,237,J,,US,WI,,L,illumina
UWI245,229,E,,US,WI,,L,illumina
UWI246,302,E,,US,WI,,L,illumina
UWI247,4,H,,US,WI,,D,illumina
UWI248,32,H,,US,WI,,L,illumina
UWI249,409,M,,US,WI,,L,illumina
UWI250,32,H,,US,WI,,L,illumina
UWI251,30,B,,US,WI,,L,illumina
UWI252,29,L,,US,WI,,D,illumina
UWI253,32,H,,US,WI,,D,illumina
UWI254,32,H,,US,WI,,D,illumina
UWI255,227,I,,US,WI,,L,illumina
UWI256,29,L,,US,WI,,L,illumina
UWI257,232,B3,,US,WI,,L,illumina
UWI258,232,B3,,US,WI,,L,illumina
UWI260,225,F3,,US,WI,,L,illumina
UWI261,55,A,,US,WI,,D,illumina
UWI262,51,D,,US,WI,,L,illumina
UWI263,29,L,,US,WI,,L,illumina
UWI264,29,L,,US,WI,,D,illumina
UWI265,234,K,,US,WI,,L,illumina
UWI267,222,U,,US,WI,,L,illumina
UWI268,228,I,,US,WI,,L,illumina
UWI269,32,H,,US,WI,,D,illumina
UWI270,51,D,,US,WI,,L,illumina
UWI271,30,B,,US,WI,,D,illumina
UWI272,55,A,,US,WI,,D,illumina
UWI273,55,C,,US,WI,,L,illumina
UWI274,226,D,,US,WI,,L,illumina
UWI275,12,M,,US,WI,,L,illumina
UWI276,410,N,,US,WI,,D,illumina
UWI277,410,N,,US,WI,,L,illumina
UWI278,32,H,,US,WI,,D,illumina
UWI279,302,F,,US,WI,,D,illumina
UWI280,32,H,,US,WI,,L,illumina
UWI281,223,T,,US,WI,,L,illumina
UWI282,55,C,,US,WI,,L,illumina
UWI283,221,O,,US,WI,,L,illumina
ESI284,ST20,R,,EU,Slovenia,,,illumina
ESI285,ST20,B,,EU,Slovenia,,,illumina
ESI286,ST20,B,,EU,Slovenia,,,illumina
ESI287,ST314,B,,EU,Slovenia,,,illumina
ESI288a,ST20,S,,EU,Slovenia,,,illumina
ESI289,ST314,B,,EU,Slovenia,,,illumina
ESI290,ST314,B,,EU,Slovenia,,,illumina
ESI291,545,Q,,EU,Slovenia,,,illumina
ESI292,545,B,,EU,Slovenia,,,illumina
ESI294,ST314,B,,EU,Slovenia,,,illumina
ESI295,24,L,,EU,Slovenia,,,illumina
ESI297,ST545,B,,EU,Slovenia,,,illumina
ESI299,ST24,S,,EU,Slovenia,,,illumina
ESI300,ST24,L,,EU,Slovenia,,,illumina
ESI301,ST314,B,,EU,Slovenia,,,illumina
ESI303,ST545,B,,EU,Slovenia,,,illumina
ESI304,ST24,L,,EU,Slovenia,,,illumina
ESI305,ST20,B,,EU,Slovenia,,,illumina
ESI306,ST545,B,,EU,Slovenia,,,illumina
ESI307,ST545,B,,EU,Slovenia,,,illumina
ESI308,ST20,B,,EU,Slovenia,,,illumina
ESI309,ST20,S,,EU,Slovenia,,,illumina
ESI311,ST24,L,,EU,Slovenia,,,illumina
ESI312,New ST,L,,EU,Slovenia,,,illumina
ESI313,ST314,B,,EU,Slovenia,,,illumina
ESI314,ST20,B,,EU,Slovenia,,,illumina
ESI315,ST545,B,,EU,Slovenia,,,illumina
ESI316,ST24,L,,EU,Slovenia,,,illumina
ESI317,ST20,B,,EU,Slovenia,,,illumina
ESI318,ST545,B,,EU,Slovenia,,,illumina
ESI319,ST24,L,,EU,Slovenia,,,illumina
ESI320,546,Q,,EU,Slovenia,,,illumina
ESI322,ST24,L,,EU,Slovenia,,,illumina
ESI323,799,L,,EU,Slovenia,,,illumina
