label	Original_Name	Origin	Location	OspC_Type	RST_Type	MLST	wgs_group	WGS_Group
UWI269	MC130	US	WI	H	2	32	C	C
UWI270	MC131	US	WI	D	3	51	B.2	B
UWI271	MC132	US	WI	B	1	30	A	A
UWI272	MC133	US	WI	A	1	55	A	A
UWI273	MC134	US	WI	C	3	55	A	A
UWI274	MC135	US	WI	D	3	226	B.2	B
UWI275	MC136	US	WI	M	3	12	B.2	B
UWI276	MC137	US	WI	N	2	410	B.1	B
UWI277	MC138	US	WI	N	2	410	B.1	B
UWI278	MC139	US	WI	H	2	32	C	C
UWI279	MC140	US	WI	F	2	302	B.1	B
UWI280	MC143	US	WI	H	2	32	C	C
UWI281	MC145	US	WI	T	3	223	B.2	B
UWI282	MC148	US	WI	C	1	55	A	A
UWI283	MC149	US	WI	O	3	221	B.1	B
ESI284	2831/06	EU	Slovenia	R	1	ST20	A	A
ESI285	953/03	EU	Slovenia	B	1	ST20	A	A
ESI286	2725/04	EU	Slovenia	B	1	ST20	A	A
ESI287	323/96	EU	Slovenia	B	1	ST314	A	A
ESI288a	MKP-2205/13	EU	Slovenia	S	1	ST20	A	A
ESI289	2253/11	EU	Slovenia	B	1	ST314	A	A
ESI290	2157/06	EU	Slovenia	B	1	ST314	A	A
ESI291	1442/99	EU	Slovenia	Q	1	545	A	A
ESI292	2624/09	EU	Slovenia	B	1	545	A	A
ESI294	375/10	EU	Slovenia	B	1	ST314	A	A
ESI295	1506/08	EU	Slovenia	L	3	24	B.2	B
ESI297	851/97	EU	Slovenia	B	1	ST545	A	A
ESI299	3471/09	EU	Slovenia	S	1	ST24	B.2	B
ESI300	1929/11	EU	Slovenia	L	3	ST24	B.2	B
ESI301	2093/06	EU	Slovenia	B	1	ST314	A	A
ESI303	2033/00	EU	Slovenia	B	1	ST545	A	A
ESI304	559/06	EU	Slovenia	L	3	ST24	B.2	B
ESI305	2290/03	EU	Slovenia	B	1	ST20	A	A
ESI306	1313/12	EU	Slovenia	B	1	ST545	A	A
ESI307	2249/07	EU	Slovenia	B	1	ST545	A	A
ESI308	674/18	EU	Slovenia	B	1	ST20	A	A
ESI309	7946/05	EU	Slovenia	S	1	ST20	A	A
ESI311	1735/11	EU	Slovenia	L	3	ST24	B.2	B
ESI312	861/99	EU	Slovenia	L	3	New ST	B.2	B
ESI313	2543/97	EU	Slovenia	B	1	ST314	A	A
ESI314	1809/03	EU	Slovenia	B	1	ST20	A	A
ESI315	2130/06	EU	Slovenia	B	1	ST545	A	A
ESI316	518/07	EU	Slovenia	L	3	ST24	B.2	B
ESI317	1963/06	EU	Slovenia	B	1	ST20	A	A
ESI318	11059/05	EU	Slovenia	B	1	ST545	A	A
ESI319	1706/06	EU	Slovenia	L	3	ST24	B.2	B
ESI320	1408/94	EU	Slovenia	Q	1	546	A	A
ESI322	1131/96	EU	Slovenia	L	3	ST24	B.2	B
ESI323	1502/01	EU	Slovenia	L	3	799	B.2	B
